Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Con lead,,
1974,Mar,12-17,,NOP,,35.7,,43.3,,17.9,,-7.6,,
,Mar,13-18,,Gallup,DT,35,,43,,19,,-8,,
,Mar,19-24,,NOP,,33.6,-2.1,47.7,4.4,15,-2.9,-14.1,-6.5,
,Mar,,,ORC,ES,35,,44,,17,,-9,,
,Apr,2-7,,NOP,,36.4,2.8,45.1,-2.6,16.5,1.5,-8.7,5.4,
,Apr,9-16,,Gallup,DT,33,-2,49,6,15.5,-3.5,-16,-8,
,Apr,,,ORC,ES,35.5,0.5,42.5,-1.5,18,1,-7,2,
,May,8-13,,Gallup,DT,33,0,46.5,-2.5,17,1.5,-13.5,2.5,
,May,,,ORC,ES,35,-0.5,45,2.5,16,-2,-10,-3,
,Jun,12-17,,Gallup,DT,35.5,2.5,44,-2.5,17,0,-8.5,5,
,Jun,18-23,,NOP,,37.7,1.3,45.8,0.7,14,-2.5,-8.1,0.6,
,Jun,,,ORC,ES,34,-1,46,1,18,2,-12,-2,
,Jun,,,Harris,DE,35.5,,42,,20.5,,-6.5,,
,Jul,10-15,,Gallup,DT,35,-0.5,38,-6,21,4,-3,5.5,
,Jul,23-28,,NOP,,35.4,-2.3,44.8,-1,18.2,4.2,-9.4,-1.3,
,Jul,,,ORC,ES,37,3,37,-9,22,4,0,12,
,Aug,8-12,,Gallup,DT,35.5,0.5,39.5,1.5,21,0,-4,-1,
,Aug,,,ORC,ES,34,-3,40.5,3.5,21,-1,-6.5,-6.5,
,Aug,28-4,,Gallup,DT,37.5,2,40.5,1,18,-3,-3,1,
,Aug,31,,NOP,,39.1,,37,,19.1,,2.1,,
,Sep,10-15,21,ORC,TT,34,0,38,-2.5,23,2,-4,,Quota
,Sep,10-15,24,NOP,DM,32,,46.6,,18.2,,-14.6,,Random
,Sep,11-12,15,ORC,ST,36,,46,,16,,-10,,Panel
,Sep,11-12,,NOP,,41,,40,,16,,1,,Quota
,Sep,11-16 or 17,19,Gallup,DT,34,-3.5,42,1.5,20.5,2.5,-8,-5,Quota
,Sep,18-19,22,Harris,LWT,33,,45,,19,,-12,,Panel
,Sep,18-19,22,ORC,ST,35,-1,43,-3,19,3,-8,2,Panel
,Sep,18-22,27,Harris,DE,36.5,,42.5,,19,,-6,,Random
,Sep,19,22,Business Decisions,Ob,36,,39.5,,20,,-3.5,,Quota
,Sep,19-22,25,ORC,ES,31,-3,45,7,20,-3,-14,-10,Quota
,Sep,19-22,26,Gallup,DT,37.5,3.5,42.5,0.5,18,-2.5,-5,3,Quota
,Sep,19-26,29,Gallup,DT,39,,44,,15,,-5,,Random
,Sep,25,29,Business Decisions,Ob,36,0,40,0.5,20,0,-4,-0.5,Quota
,Sep,25,29,Harris,LWT,34,1,43,-2,20,1,-9,3,Panel
,Sep,25-27,,NOP,,33,,44,,22,,-11,,
,Sep,26-29,3,ORC,TT,33,2,42,-3,21,1,-9,-5,Quota
,Sep,26-29,3,Harris,DE,35,-1.5,43.5,1,18.5,-0.5,-8.5,-2.5,Random
,Sep,27-30,3,Gallup,DT,35,-2.5,42.5,0,19,1,-7.5,-2.5,Quota
,Sep,28-3,6,Gallup,DT,37,2,42.5,0,17.5,-1.5,-5.5,2,Quota
,Oct,2,6,Business Decisions,Ob,35.5,-0.5,40,0,20,0,-4.5,-0.5,Quota
,Oct,2-3,6,Harris,LWT,34,0,43,0,20,0,-9,0,Panel
,Oct,2-5,9,NOP,DM,31,,45.5,,19.5,,-14.5,,Random
,Oct,3-7,10,Gallup,DT,36,-1,41.5,-1,19,1.5,-5.5,0,Quota + reinterview
,Oct,4,6,Marplan,NoW,33.1,,42.9,,19.7,,-9.8,,Quota
,Oct,5-6,9,Harris,DE,33.5,-1.5,43.5,0,20,1.5,-10,-1.5,Random
,Oct,5-6,9,ORC,ES,33,0,43,1,20,-1,-10,-1,Quota
,Oct,8,10,ORC,TT,35,,44,,17,,-9,,Reinterview
,Oct,8,10,Marplan,Sun,33.3,,43.8,,19.5,,-10.5,,Reinterview
,Oct,8-9,10,Harris,DE,34.6,1.1,43,-0.5,19.3,-0.7,-8.4,1.6,Reinterview
,Oct,9,10,ORC,ES,34.4,,41.8,,19.4,,-7.4,,Reinterview
